ID	Waveform	Period	Phase	Nadir	Tau	P
1.4801291970928483	cosine	24.0	8.0	10.0	0.3690665122217134	0.00575805764378841
0.3379327342167485	cosine	24.0	6.0	4.0	0.3100158702662392	0.016903200710028324
-0.20731724052925826	cosine	24.0	22.0	20.0	0.45764247515492457	0.0008650668306068227
2.4565458392285073	cosine	24.0	0.0	2.0	0.24358389806633082	0.04769966180633572
-1.07290091039211	cosine	24.0	12.0	14.0	0.1845332561108567	0.10323755908592297
0.16476910459479968	cosine	24.0	4.0	20.0	0.39124120804273904	0.0036982638240428646
-0.6513724785526819	cosine	24.0	4.0	14.0	0.37364893492427953	0.005263710294693397
1.0560579847554825	cosine	24.0	18.0	20.0	0.2551359238183474	0.04034778682105685
-0.49622030651619303	cosine	24.0	20.0	22.0	0.28049054928850214	0.02741363646522646
0.5925775169174078	cosine	24.0	6.0	8.0	0.3173972005106735	0.014893695995628085
0.213641178085139	cosine	24.0	10.0	14.0	0.2173410895704131	0.0683859475317161
-0.43913945552378786	cosine	24.0	2.0	0.0	0.17715192586642242	0.11260606365924808
-0.354422373117522	cosine	24.0	0.0	22.0	0.1758347929055433	0.11433970056138665
-0.42704172606622387	cosine	24.0	8.0	16.0	0.3034861707247415	0.018869840911642614
0.49680459741226973	cosine	24.0	16.0	14.0	0.19929591659972523	0.08622355226943118
0.9649864879648978	cosine	24.0	6.0	16.0	0.4102811834462677	0.0024863946965112097
-1.1605562151117201	cosine	24.0	2.0	22.0	0.21653162273736784	0.06911977279696901
0.8691747889782582	cosine	24.0	0.0	4.0	0.3204860134343379	0.014115833190008366
0.07056074115751515	cosine	24.0	12.0	16.0	0.224708584132122	0.06198051021301793
1.1278351117508574	cosine	24.0	10.0	14.0	0.1731361222001596	0.11795090932869162
-0.0884964900922318	cosine	24.0	12.0	14.0	0.22143990733302804	0.06476208627439409
0.09788773255008723	cosine	24.0	12.0	8.0	0.2731092190440679	0.030762062328506853
-0.7795606049138936	cosine	24.0	14.0	8.0	0.33091813754658483	0.011741909652740369
2.0759730620529555	cosine	24.0	12.0	16.0	0.2983835297492112	0.020539183818460795
-1.5702667839567823	cosine	24.0	20.0	0.0	0.2930579881759055	0.022413223470489428
