test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
gene-XA68_10000	gene-XA68_10000	XA68_10000	LAZP02000001.1:115-1058	q1	q2	OK	486.251	385.103	-0.336454	-0.793149	0.4248	0.997171	no
gene-XA68_10001	gene-XA68_10001	XA68_10001	LAZP02000001.1:19942-22307	q1	q2	OK	77.9488	53.0492	-0.555195	-1.30642	0.19015	0.997171	no
gene-XA68_10002	gene-XA68_10002	XA68_10002	LAZP02000001.1:22396-23358	q1	q2	OK	118.031	27.0539	-2.12526	-2.78586	0.0144	0.601709	no
gene-XA68_10003	gene-XA68_10003	XA68_10003	LAZP02000001.1:24353-26325	q1	q2	OK	14.1013	3.35739	-2.07042	-3.47587	0.0018	0.165124	no
gene-XA68_10004	gene-XA68_10004	XA68_10004	LAZP02000001.1:26853-27129	q1	q2	NOTEST	0	0	0	0	1	1	no
gene-XA68_10005	gene-XA68_10005	XA68_10005	LAZP02000001.1:27283-27791	q1	q2	NOTEST	0	0.788872	inf	0	1	1	no
gene-XA68_10006	gene-XA68_10006	XA68_10006	LAZP02000001.1:32087-32858	q1	q2	NOTEST	0	0	0	0	1	1	no
gene-XA68_10007	gene-XA68_10007	XA68_10007	LAZP02000001.1:34367-35747	q1	q2	OK	4.55261	4.07164	-0.161083	-0.191654	0.85085	0.997171	no
gene-XA68_10008	gene-XA68_10008	XA68_10008	LAZP02000001.1:36282-38834	q1	q2	OK	23.9454	24.9098	0.05696	0.123323	0.90095	0.997171	no
gene-XA68_10009	gene-XA68_10009	XA68_10009	LAZP02000001.1:39450-40457	q1	q2	OK	25.2315	40.069	0.667263	1.18611	0.23645	0.997171	no
gene-XA68_10010	gene-XA68_10010	XA68_10010	LAZP02000001.1:40729-41245	q1	q2	OK	12.8005	14.1801	0.147668	0.177324	0.8568	0.997171	no
gene-XA68_10011	gene-XA68_10011	XA68_10011	LAZP02000001.1:2194-3948	q1	q2	OK	280.935	300.25	0.0959309	0.185719	0.8487	0.997171	no
gene-XA68_10012	gene-XA68_10012	XA68_10012	LAZP02000001.1:41308-42925	q1	q2	OK	8.12401	9.5105	0.227329	0.342578	0.7315	0.997171	no
gene-XA68_10013	gene-XA68_10013	XA68_10013	LAZP02000001.1:43789-46571	q1	q2	OK	26.1809	17.8098	-0.555844	-1.21745	0.22275	0.997171	no
gene-XA68_10014	gene-XA68_10014	XA68_10014	LAZP02000001.1:47141-48174	q1	q2	NOTEST	0.17222	0	-inf	0	1	1	no
gene-XA68_10015	gene-XA68_10015	XA68_10015	LAZP02000001.1:49357-50320	q1	q2	OK	10.8337	2.69898	-2.00504	-2.55794	0.01805	0.689268	no
gene-XA68_10016	gene-XA68_10016	XA68_10016	LAZP02000001.1:54317-55491	q1	q2	NOTEST	0.443625	0.835591	0.913456	0	1	1	no
gene-XA68_10017	gene-XA68_10017	XA68_10017	LAZP02000001.1:56197-57287	q1	q2	NOTEST	0.160728	0.0405663	-1.98627	0	1	1	no
gene-XA68_10018	gene-XA68_10018	XA68_10018	LAZP02000001.1:60918-62274	q1	q2	NOTEST	0.359274	0	-inf	0	1	1	no
gene-XA68_10019	gene-XA68_10019	XA68_10019	LAZP02000001.1:63626-64415	q1	q2	OK	1.70801	0.484359	-1.81817	-1.16054	0.30125	0.997171	no
