ID	Waveform	Period	Phase	Nadir	Tau	P
-0.714081315843928	cosine	24.0	16.0	12.0	0.730987985088288	0.0004693265510989954
-0.7186077178180712	cosine	24.0	20.0	0.0	0.2501221597922891	0.12881724171626302
1.1615202180419448	cosine	24.0	0.0	20.0	0.40644850966246976	0.03292085287309089
0.47105247467485933	cosine	24.0	8.0	12.0	0.7722522721128164	0.00023698638032029084
-1.3543492817335006	cosine	24.0	4.0	0.0	0.36248576037948527	0.05044712112711767
-0.7009391057428072	cosine	24.0	12.0	8.0	0.5831292666974328	0.004156084107205838
1.1449983050822394	cosine	24.0	16.0	12.0	0.38138503569823723	0.042167604419924586
-0.01279587421828793	cosine	24.0	4.0	8.0	0.3940062612820492	0.037277784955182205
0.7074219615102764	cosine	24.0	16.0	20.0	0.31782086308186436	0.07516173316558697
0.6074393730059923	cosine	24.0	12.0	16.0	0.38138503569823723	0.042167604419924586
0.15664594755333372	cosine	24.0	8.0	4.0	0.2364037567692295	0.1423291682149232
0.7556827558064122	cosine	24.0	16.0	20.0	0.41316712200642364	0.03074837886955296
0.41217286994038477	cosine	24.0	20.0	12.0	0.07754035086653928	0.3628199843123999
-0.4495933860497384	cosine	24.0	12.0	8.0	0.4570472630871771	0.01929656018546278
1.3128772494327237	cosine	24.0	16.0	20.0	0.6038596398555423	0.0031385812005819934
0.3641298432854933	cosine	24.0	16.0	20.0	0.2542566904654915	0.12492539106643724
-0.2640112325813273	cosine	24.0	0.0	20.0	0.28138742976632525	0.10142035953841916
1.3184057700016738	cosine	24.0	12.0	8.0	0.42552676218461316	0.027061931661110435
1.1399745648547905	cosine	24.0	4.0	8.0	0.5831292666974328	0.004156084107205838
0.31286211736871133	cosine	24.0	4.0	0.0	0.17336275496410164	0.21634316011970334
0.011833386667283369	cosine	24.0	0.0	4.0	0.488567763989741	0.013512582066973257
0.8487279458791406	cosine	24.0	12.0	8.0	0.33096525947692135	0.06708239491800405
-0.5698601255095522	cosine	24.0	0.0	4.0	0.520088264892305	0.009291071757416634
0.5997862957070993	cosine	24.0	16.0	12.0	0.508513380930983	0.01068384436354423
-0.5824214447118019	cosine	24.0	20.0	0.0	0.21885688981825296	0.16096491949833142
0.4488337065897129	cosine	24.0	4.0	8.0	0.2048832558666656	0.1768962477431396
-1.0952404233286417	cosine	24.0	0.0	20.0	0.31265269974036136	0.07853426938217861
-1.6554852523556076	cosine	24.0	0.0	20.0	0.34391796971439753	0.05979464037584733
-0.26493351838012086	cosine	24.0	8.0	0.0	0.5002443195845782	0.011787064559833655
